Dimension,Metric,Keboola,Microsoft_Fabric,Databricks,Metric_Type
Technical_Efficiency,Pipeline_Speed,4,2,5,benefit
Technical_Efficiency,Stability,5,2,4,benefit
Technical_Efficiency,Scalability,4,3,5,benefit
Technical_Efficiency,Observability,5,4,5,benefit
Data_Quality,Data_Lineage,5,3,5,benefit
Data_Quality,Quality_Tests,4,2,5,benefit
Data_Quality,RBAC,3,4,5,benefit
Data_Quality,Metadata_Management,5,5,5,benefit
CI_CD,Git_Integration,4,5,5,benefit
CI_CD,API_CLI,5,5,5,benefit
CI_CD,Automated_Tests,4,3,4,benefit
CI_CD,Reproducibility,4,5,5,benefit
User_Experience,Onboarding,5,4,3,benefit
User_Experience,Documentation,5,5,5,benefit
User_Experience,Debugging,5,3,5,benefit
User_Experience,Collaboration,3,5,5,benefit
Business_Impact,Time_to_Value,5,5,4,benefit
Business_Impact,TCO,3,4,3,cost
Business_Impact,Vendor_Lock_in,5,3,4,cost
Business_Impact,Auditability,4,5,5,benefit

